user_id,household_type,occupants,region,grid_region,timezone,home_sqft,appliances_owned,shiftable_appliances,appliance_avg_kwh_per_use,typical_usage_windows,flexibility_score,carbon_priority_weight,cost_priority_weight,avg_monthly_kwh,notification_method,email_address
user_000,single_professional,2,London_UK,GB,Europe/London,727,"dishwasher,dryer,washing_machine,hvac","dishwasher,dryer,washing_machine",dishwasher:1.51;dryer:2.04;washing_machine:1.48;hvac:7.16,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.48,0.87,0.13,347.5,app,user_000@example.com
user_001,family_of_2_no_kids,2,Austin_TX,ERCOT,America/Chicago,1308,"ev_charger,dishwasher,dryer,hvac","ev_charger,dishwasher,dryer",ev_charger:38.02;dishwasher:0.81;dryer:3.88;hvac:5.82,ev_charger:22:00-06:00;dishwasher:19:00-21:00;dryer:09:00-11:00;hvac:00:00-23:59,0.62,0.32,0.68,1111.4,email,user_001@example.com
user_002,retired_couple,2,Austin_TX,ERCOT,America/Chicago,1245,"hvac,water_heater",water_heater,hvac:3.44;water_heater:2.09,hvac:00:00-23:59;water_heater:06:00-08:00,0.5,0.21,0.79,190.4,app,user_002@example.com
user_003,family_of_4,4,Austin_TX,ERCOT,America/Chicago,2990,"dishwasher,dryer,washing_machine,hvac","dishwasher,dryer,washing_machine",dishwasher:1.41;dryer:3.85;washing_machine:1.22;hvac:7.57,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.32,0.26,0.74,439.2,email,moizkothawala@gmail.com
user_004,family_of_4,3,London_UK,GB,Europe/London,2149,"dishwasher,dryer,washing_machine,hvac,water_heater,pool_pump","dishwasher,dryer,washing_machine,water_heater,pool_pump",dishwasher:0.91;dryer:2.06;washing_machine:1.21;hvac:4.57;water_heater:3.03;pool_pump:2.36,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00;pool_pump:10:00-16:00,0.67,0.45,0.55,500.2,email,user_004@example.com
user_005,family_of_4,5,Austin_TX,ERCOT,America/Chicago,2030,"ev_charger,dishwasher,washing_machine,hvac,water_heater","ev_charger,dishwasher,washing_machine,water_heater",ev_charger:30.89;dishwasher:1.45;washing_machine:0.7;hvac:4.76;water_heater:2.41,ev_charger:22:00-06:00;dishwasher:19:00-21:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.25,0.95,0.05,973.4,app,user_005@example.com
user_006,single_professional,2,London_UK,GB,Europe/London,686,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.3;dryer:2.1;washing_machine:0.92;hvac:7.54;water_heater:2.22,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.6,0.29,0.71,411.6,app,user_006@example.com
user_007,family_of_2_no_kids,3,Austin_TX,ERCOT,America/Chicago,1278,"dryer,washing_machine,hvac","dryer,washing_machine",dryer:2.44;washing_machine:1.27;hvac:7.05,dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.56,0.61,0.39,285.1,email,moizkothawala@gmail.com
user_008,retired_couple,1,Austin_TX,ERCOT,America/Chicago,1842,"washing_machine,hvac,water_heater","washing_machine,water_heater",washing_machine:1.42;hvac:7.44;water_heater:3.84,washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.76,0.39,0.61,415.6,app,user_008@example.com
user_009,family_of_4,5,Austin_TX,ERCOT,America/Chicago,2481,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.31;dryer:3.27;washing_machine:0.9;hvac:5.95;water_heater:4.44,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.27,0.3,0.7,453.2,app,user_009@example.com
user_010,family_of_4,5,London_UK,GB,Europe/London,2994,"ev_charger,hvac,water_heater","ev_charger,water_heater",ev_charger:37.13;hvac:7.83;water_heater:4.39,ev_charger:22:00-06:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.51,0.66,0.34,1568.8,app,user_010@example.com
user_011,family_of_4,4,Austin_TX,ERCOT,America/Chicago,2656,"dishwasher,dryer,washing_machine,hvac,pool_pump","dishwasher,dryer,washing_machine,pool_pump",dishwasher:1.51;dryer:3.11;washing_machine:0.94;hvac:5.1;pool_pump:1.38,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;pool_pump:10:00-16:00,0.26,0.19,0.81,399.8,app,user_011@example.com
user_012,single_professional,1,Austin_TX,ERCOT,America/Chicago,631,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.32;dryer:3.54;washing_machine:0.87;hvac:6.11;water_heater:1.76,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.49,0.57,0.43,341.2,email,user_012@example.com
user_013,single_professional,0,London_UK,GB,Europe/London,982,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.24;dryer:2.48;washing_machine:0.78;hvac:3.91;water_heater:4.3,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.62,0.75,0.25,313.6,app,user_013@example.com
user_014,family_of_4,5,Austin_TX,ERCOT,America/Chicago,2324,"ev_charger,dishwasher,dryer,washing_machine,hvac,water_heater","ev_charger,dishwasher,dryer,washing_machine,water_heater",ev_charger:26.93;dishwasher:1.23;dryer:2.8;washing_machine:1.19;hvac:6.18;water_heater:1.64,ev_charger:22:00-06:00;dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.36,0.21,0.79,1126.5,email,user_014@example.com
user_015,retired_couple,2,Austin_TX,ERCOT,America/Chicago,1577,"washing_machine,hvac",washing_machine,washing_machine:0.92;hvac:4.07,washing_machine:08:00-10:00;hvac:00:00-23:59,0.66,0.53,0.47,179.9,app,user_015@example.com
user_016,family_of_4,4,London_UK,GB,Europe/London,2277,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.61;dryer:3.98;washing_machine:1.03;hvac:4.86;water_heater:3.83,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.3,0.8,0.2,523.8,app,user_016@example.com
user_017,family_of_4,3,Austin_TX,ERCOT,America/Chicago,2097,"dishwasher,dryer,hvac,water_heater","dishwasher,dryer,water_heater",dishwasher:0.88;dryer:2.18;hvac:6.01;water_heater:3.16,dishwasher:19:00-21:00;dryer:09:00-11:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.59,0.55,0.45,380.6,app,user_017@example.com
user_018,student_apartment,2,London_UK,GB,Europe/London,433,"dishwasher,washing_machine,hvac","dishwasher,washing_machine",dishwasher:1.79;washing_machine:1.3;hvac:4.88,dishwasher:19:00-21:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.4,0.77,0.23,181.2,app,user_018@example.com
user_019,student_apartment,3,London_UK,GB,Europe/London,529,"washing_machine,hvac,water_heater","washing_machine,water_heater",washing_machine:1.34;hvac:7.89;water_heater:3.17,washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.32,0.77,0.23,355.6,app,user_019@example.com
user_020,family_of_4,5,Austin_TX,ERCOT,America/Chicago,2777,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.15;dryer:3.17;washing_machine:0.76;hvac:7.87;water_heater:4.46,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.16,0.71,0.29,602.5,email,user_020@example.com
user_021,retired_couple,1,London_UK,GB,Europe/London,1592,"dryer,washing_machine,hvac","dryer,washing_machine",dryer:3.97;washing_machine:1.0;hvac:6.75,dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.69,0.54,0.46,405.1,app,user_021@example.com
user_022,family_of_2_no_kids,2,London_UK,GB,Europe/London,1416,"dishwasher,dryer,hvac,water_heater","dishwasher,dryer,water_heater",dishwasher:1.42;dryer:2.72;hvac:3.57;water_heater:3.51,dishwasher:19:00-21:00;dryer:09:00-11:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.52,0.37,0.63,326.3,app,user_022@example.com
user_023,single_professional,0,London_UK,GB,Europe/London,1035,"washing_machine,water_heater","washing_machine,water_heater",washing_machine:1.14;water_heater:1.77,washing_machine:08:00-10:00;water_heater:06:00-08:00,0.25,0.92,0.08,122.8,app,user_023@example.com
user_024,single_professional,0,Austin_TX,ERCOT,America/Chicago,984,"dryer,washing_machine,hvac,water_heater","dryer,washing_machine,water_heater",dryer:2.26;washing_machine:0.8;hvac:3.76;water_heater:1.92,dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.47,0.1,0.9,231.0,app,user_024@example.com
user_025,single_professional,1,Austin_TX,ERCOT,America/Chicago,826,"ev_charger,dishwasher,dryer,washing_machine,hvac,water_heater","ev_charger,dishwasher,dryer,washing_machine,water_heater",ev_charger:32.86;dishwasher:0.89;dryer:2.96;washing_machine:1.25;hvac:5.56;water_heater:1.97,ev_charger:22:00-06:00;dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.58,0.22,0.78,1288.5,app,user_025@example.com
user_026,student_apartment,3,Austin_TX,ERCOT,America/Chicago,550,"washing_machine,hvac,water_heater","washing_machine,water_heater",washing_machine:1.13;hvac:4.21;water_heater:2.31,washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.25,0.22,0.78,235.4,app,user_026@example.com
user_027,retired_couple,2,London_UK,GB,Europe/London,1207,"dishwasher,dryer,washing_machine,hvac","dishwasher,dryer,washing_machine",dishwasher:1.04;dryer:3.0;washing_machine:0.96;hvac:7.67,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.56,0.15,0.85,425.2,app,user_027@example.com
user_028,retired_couple,1,London_UK,GB,Europe/London,1781,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.31;dryer:2.48;washing_machine:0.79;hvac:6.05;water_heater:2.37,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.64,0.28,0.72,339.5,email,user_028@example.com
user_029,retired_couple,1,Austin_TX,ERCOT,America/Chicago,2190,"dishwasher,dryer,washing_machine,hvac","dishwasher,dryer,washing_machine",dishwasher:1.65;dryer:3.49;washing_machine:1.03;hvac:7.66,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.57,0.16,0.84,474.8,email,user_029@example.com
